a_1,a_2,a_3,a_4,b,y,He_Density
-204.5849834,252.1318295,-120.7081249,22.23606832,3.307396748,0.382047831,0.09198
-204.5834835,252.129981,-120.70724,22.23590529,3.3073725,0.382150269,0.09198
-204.5819842,252.1281333,-120.7063554,22.23574234,3.307348262,0.382252651,0.09198
-204.5804855,252.1262863,-120.7054711,22.23557945,3.307324034,0.382354978,0.09198
-204.5789874,252.12444,-120.7045872,22.23541662,3.307299815,0.38245725,0.09198
-204.5774899,252.1225945,-120.7037037,22.23525386,3.307275606,0.382559467,0.09198
-204.575993,252.1207497,-120.7028205,22.23509117,3.307251407,0.382661628,0.09198
-204.5744967,252.1189057,-120.7019377,22.23492854,3.307227217,0.382763735,0.09198
-204.5730011,252.1170624,-120.7010552,22.23476597,3.307203037,0.382865787,0.09198
-204.571506,252.1152199,-120.7001731,22.23460348,3.307178867,0.382967784,0.09198
-204.5700115,252.1133781,-120.6992913,22.23444104,3.307154707,0.383069725,0.09198
-204.5685176,252.111537,-120.6984099,22.23427868,3.307130557,0.383171612,0.09198
-204.5670243,252.1096967,-120.6975288,22.23411637,3.307106416,0.383273444,0.09198
-204.5655317,252.1078571,-120.6966482,22.23395414,3.307082285,0.383375221,0.09198
-204.5640396,252.1060183,-120.6957678,22.23379197,3.307058164,0.383476943,0.09198
-204.5625482,252.1041802,-120.6948878,22.23362986,3.307034052,0.383578611,0.09199
-204.5610573,252.1023429,-120.6940082,22.23346783,3.307009951,0.383680223,0.09199
-204.5595671,252.1005063,-120.693129,22.23330585,3.306985859,0.383781781,0.09199
-204.5580774,252.0986705,-120.69225,22.23314395,3.306961777,0.383883284,0.09199
-204.5565884,252.0968354,-120.6913715,22.23298211,3.306937705,0.383984733,0.09199
-204.5551,252.0950011,-120.6904933,22.23282033,3.306913643,0.384086126,0.09199
-204.5536122,252.0931675,-120.6896155,22.23265863,3.30688959,0.384187465,0.09199
-204.552125,252.0913347,-120.688738,22.23249699,3.306865548,0.38428875,0.09199
-204.5506384,252.0895026,-120.6878609,22.23233541,3.306841515,0.38438998,0.09199
-204.5491525,252.0876713,-120.6869842,22.2321739,3.306817492,0.384491155,0.09199
-204.5476671,252.0858407,-120.6861078,22.23201246,3.30679348,0.384592276,0.09199
-204.5461824,252.0840109,-120.6852318,22.23185109,3.306769477,0.384693342,0.09199
-204.5446982,252.0821819,-120.6843561,22.23168978,3.306745484,0.384794354,0.09199
-204.5432147,252.0803536,-120.6834808,22.23152854,3.306721501,0.384895311,0.09199
-204.5417318,252.078526,-120.6826059,22.23136737,3.306697528,0.384996214,0.09199
-204.5402496,252.0766993,-120.6817313,22.23120626,3.306673565,0.385097062,0.092
-204.5387679,252.0748732,-120.6808571,22.23104522,3.306649611,0.385197856,0.092
-204.5372868,252.073048,-120.6799833,22.23088424,3.306625668,0.385298596,0.092
-204.5358064,252.0712235,-120.6791098,22.23072334,3.306601735,0.385399281,0.092
-204.5343266,252.0693998,-120.6782367,22.2305625,3.306577812,0.385499912,0.092
-204.5328474,252.0675768,-120.677364,22.23040173,3.306553899,0.385600489,0.092
-204.5313688,252.0657546,-120.6764916,22.23024102,3.306529995,0.385701012,0.092
-204.5298909,252.0639332,-120.6756196,22.23008039,3.306506102,0.38580148,0.092
-204.5284135,252.0621125,-120.6747479,22.22991982,3.306482219,0.385901894,0.092
-204.5269368,252.0602926,-120.6738766,22.22975932,3.306458346,0.386002254,0.092
-204.5254607,252.0584734,-120.6730057,22.22959888,3.306434483,0.38610256,0.092
-204.5239853,252.0566551,-120.6721352,22.22943852,3.30641063,0.386202812,0.092
-204.5225104,252.0548375,-120.671265,22.22927822,3.306386787,0.386303009,0.092
-204.5210362,252.0530206,-120.6703952,22.22911799,3.306362955,0.386403153,0.092
-204.5195626,252.0512046,-120.6695257,22.22895782,3.306339132,0.386503243,0.092
