Tag_Number,Instrument,Axial_Location,Radial_Azimuthal_Location,RELAP5_Model_Parameters,,,,,Total_Uncertainty,,Lower,Units
TS-1526,Thermocouple,Core Block #5,"Secondary Sector, #12","httemp-150300501, httemp-150300601",,,,,,,,
TS-1527,Thermocouple,Core Block #5,"Secondary Sector, #15","tempg-164070000, tempg-164080000",,,,,,,,
TS-1528,Thermocouple,Core Block #5,"Secondary Sector, #16","tempg-164070000, tempg-164080000",,,,,,,,
TS-1529,Thermocouple,Core Block #5,"Secondary Sector, #17","tempg-164070000, tempg-164080000",,,,,,,,
TS-1530,Thermocouple,Core Block #5,"Tertiary Sector, #2","httemp-132000706, httemp-132000806, htvat-1320007, htvat-1320008",,,,,,,,
TS-1531,Thermocouple,Core Block #5,"Tertiary Sector, #5","htvat-1401005, htvat-1401006",,,,,,,,
TF-1532,Thermocouple,Core Block #5,"Tertiary Sector, #6","tempg-140070000, tempg-140080000",,,,,,,,
TS-1533,Thermocouple,Core Block #5,"Tertiary Sector, #7","htvat-1451005, htvat-1451006",,,,,,,,
TF-1534,Thermocouple,Core Block #5,"Tertiary Sector, #8","tempg-145070000, tempg-145080000",,,,,,,,
TS-1535,Thermocouple,Core Block #5,"Tertiary Sector, #9","htvat-1501005, htvat-1501006",,,,,,,,
TF-1536,Thermocouple,Core Block #5,"Tertiary Sector, #10","tempg-150070000, tempg-150080000",,,,,,,,
TS-1537,Thermocouple,Core Block #5,"Tertiary Sector, #13","httemp-160000701, httemp-160000801, htvat-1600007, htvat-1600008",,,,,,,,
TS-1538,Thermocouple,Core Block #5,"Tertiary Sector, #18","httemp-166000701, httemp-166000801",,,,,,,,
TS-1539,Thermocouple,Core Block #5,"Tertiary Sector, #3","httemp-140300501, httemp-140300601",,,,,,,,
TS-1540,Thermocouple,Core Block #5,"Tertiary Sector, #12","httemp-145300501, httemp-145300601, httemp-150300501, httemp-150300601",,,,,,,,
TS-1541,Thermocouple,Core Block #5,"Tertiary Sector, #15","tempg-164070000, tempg-164080000",,,,,,,,
TS-1542,Thermocouple,Core Block #5,"Tertiary Sector, #16","tempg-164070000, tempg-164080000",,,,,,,,
TS-1543,Thermocouple,Core Block #5,"Tertiary Sector, #17","tempg-164070000, tempg-164080000",,,,,,,,
,,,,,,,,,,,,
TS-1601,Thermocouple,Core Block #6,"Primary Sector, #1","httemp-130000601, httemp-130000701",,,,,,,,
TS-1602,Thermocouple,Core Block #6,"Primary Sector, #16","tempg-164060000, tempg-164070000",,,,,,,,
,,,,,,,,,,,,
TS-1701,Thermocouple,Core Block #7,"Primary Sector, #1","httemp-130000501, httemp-130000601",,,,,,,,
TS-1702,Thermocouple,Core Block #7,"Primary Sector, #2","httemp-134000501, httemp-134000601, htvat-1340005, htvat-1340006",,,,,,,,
TS-1703,Thermocouple,Core Block #7,"Primary Sector, #5","htvat-1401003, htvat-1401004",,,,,,,,
TF-1704,Thermocouple,Core Block #7,"Primary Sector, #6","tempg-140050000, tempg-140060000",,,,,,,,
TS-1705,Thermocouple,Core Block #7,"Primary Sector, #7","htvat-1451003, htvat-1451004",,,,,,,,
TF-1706,Thermocouple,Core Block #7,"Primary Sector, #8","tempg-145050000, tempg-145060000",,,,,,,,
TS-1707,Thermocouple,Core Block #7,"Primary Sector, #9","htvat-1501003, htvat-1501004",,,,,,,,
TF-1708,Thermocouple,Core Block #7,"Primary Sector, #10","tempg-150050000, tempg-150060000",,,,,,,,
TS-1709,Thermocouple,Core Block #7,"Primary Sector, #13","httemp-160000501, httemp-160000601, htvat-1600005, htvat-1600006",,,,,,,,
TS-1710,Thermocouple,Core Block #7,"Primary Sector, #18","htvat-1660005, htvat-1660006",,,,,,,,
TS-1711,Thermocouple,Core Block #7,"Primary Sector, #3","httemp-140300301, httemp-140300401",,,,,,,,
TS-1712,Thermocouple,Core Block #7,"Primary Sector, #12","httemp-150300301, httemp-150300401",,,,,,,,
TS-1713,Thermocouple,Core Block #7,"Primary Sector, #15","tempg-164050000, tempg-164060000",,,,,,,,
TS-1714,Thermocouple,Core Block #7,"Primary Sector, #16","tempg-164050000, tempg-164060000",,,,,,,,
TS-1715,Thermocouple,Core Block #7,"Primary Sector, #17","tempg-164050000, tempg-164060000",,,,,,,,
TS-1716,Thermocouple,Core Block #7,"Secondary Sector, #2","htvat-1340005, htvat-1340006",,,,,,,,
TS-1717,Thermocouple,Core Block #7,"Secondary Sector, #5","htvat-1401003, htvat-1401004",,,,,,,,
TF-1718,Thermocouple,Core Block #7,"Secondary Sector, #6","tempg-140050000, tempg-140060000",,,,,,,,
TS-1719,Thermocouple,Core Block #7,"Secondary Sector, #7","htvat-1451003, htvat-1451004",,,,,,,,
TF-1720,Thermocouple,Core Block #7,"Secondary Sector, #8","tempg-145050000, tempg-145060000",,,,,,,,
TS-1721,Thermocouple,Core Block #7,"Secondary Sector, #9","htvat-1501003, htvat-1501004",,,,,,,,
TF-1722,Thermocouple,Core Block #7,"Secondary Sector, #10","tempg-150050000, tempg-150060000",,,,,,,,
TS-1723,Thermocouple,Core Block #7,"Secondary Sector, #13","httemp-160000501, httemp-160000601, htvat-1600005, htvat-1600006",,,,,,,,
TS-1724,Thermocouple,Core Block #7,"Secondary Sector, #18","htvat-1660005, htvat-1660006",,,,,,,,
TS-1725,Thermocouple,Core Block #7,"Secondary Sector, #3","httemp-140300301, httemp-140300401",,,,,,,,
TS-1726,Thermocouple,Core Block #7,"Secondary Sector, #12","httemp-150300301, httemp-150300401",,,,,,,,
TS-1727,Thermocouple,Core Block #7,"Secondary Sector, #15","tempg-164050000, tempg-164060000",,,,,,,,
TS-1728,Thermocouple,Core Block #7,"Secondary Sector, #16","tempg-164050000, tempg-164060000",,,,,,,,
